"","scientificName","sample.outlier.mass","sample.mass","sample.outlier.total.length","sample.total.length"
"222","Megaerops wetmorei",15,0,15,0
"223","Melanomys caliginosus",15,0,4,11
"224","Mephitis mephitis",68,14,14,68
"225","Mesophylla macconnelli",20,0,20,0
"226","Metachirus nudicaudatus",17,0,5,12
"227","Micaelamys namaquensis",1,20,0,21
"228","Micoureus regina",29,0,29,0
"229","Microdipodops megacephalus",75,0,1,74
"230","Microdipodops pallidus",16,0,1,15
"231","Micronycteris megalotis",5,10,0,15
"232","Microtus (Alexandromys)",19,0,0,19
"233","Microtus (Mynomes)",35,0,0,35
"234","Microtus abbreviatus",2,20,22,0
"235","Microtus agrestis",20,10,0,30
"236","Microtus breweri",97,179,1,275
"237","Microtus californicus",138,758,18,878
"238","Microtus canicaudus",0,11,0,11
"239","Microtus chrotorrhinus",43,54,2,95
"240","Microtus gregalis",0,13,13,0
"241","Microtus longicaudus",250,1435,23,1662
"242","Microtus mexicanus",3,54,5,52
"243","Microtus miurus",126,145,1,270
"244","Microtus mogollonensis",13,7,1,19
"245","Microtus montanus",125,665,1,789
"246","Microtus ochrogaster",177,698,10,865
"247","Microtus oeconomus",93,1404,101,1396
"248","Microtus oregoni",10,264,1,273
"249","Microtus pennsylvanicus",552,1598,40,2110
"250","Microtus pinetorum",77,65,4,138
"251","Microtus richardsoni",3,34,0,37
"252","Microtus townsendii",18,48,0,66
"253","Microtus xanthognathus",40,642,682,0
"254","Miniopterus australis",68,0,0,68
"255","Miniopterus inflatus",14,0,3,11
"256","Miniopterus minor",12,0,5,7
"257","Miniopterus schreibersii",157,0,3,154
"258","Molossops temminckii",20,4,24,0
"259","Molossus molossus",17,50,23,44
"260","Molossus rufus",12,0,0,12
"261","Monodelphis domestica",21,0,21,0
"262","Monophyllus redmani",21,2,0,23
"263","Mormoops megalophylla",8,21,3,26
"264","Mus (Mus)",63,0,0,63
"265","Mus (Nannomys)",12,0,1,11
"266","Mus musculus",188,252,15,425
"267","Mustela erminea",60,222,4,278
"268","Mustela frenata",90,73,7,156
"269","Mustela nivalis",9,48,38,19
"270","Mustela vison",11,123,2,132
"271","Myodes californicus",77,855,18,914
"272","Myodes gapperi",136,3220,123,3233
"273","Myodes glareolus",42,11,7,46
"274","Myodes rufocanus",25,201,130,96
"275","Myodes rutilus",303,3556,263,3596
"276","Myopus schisticolor",1,21,22,0
"277","Myotis albescens",6,8,8,6
"278","Myotis aurascens",0,14,0,14
"279","Myotis auriculus",6,9,0,15
"280","Myotis austroriparius",22,3,11,14
"281","Myotis californicus",92,198,66,224
"282","Myotis ciliolabrum",27,33,7,53
"283","Myotis evotis",21,122,14,129
"284","Myotis fortidens",35,0,0,35
"285","Myotis grisescens",31,16,27,20
"286","Myotis horsfieldii",17,0,17,0
"287","Myotis keaysi",3,13,2,14
"288","Myotis keenii",34,32,34,32
"289","Myotis leibii",13,18,3,28
"290","Myotis lucifugus",247,314,236,325
"291","Myotis macrotarsus",12,0,12,0
