"","MSW05_Binomial","sample.size","min.mass","max.mass","avg.mass","sd.err.mass","pan.mass","mass.diff"
"147","Micaelamys namaquensis",20,21.5,53,36.975,2.10881452105455,57.1,9.54327647077096
"148","Micoureus regina",29,23,180,79.848275862069,6.37762719108096,118.6,6.07619777338583
"149","Microdipodops megacephalus",15,10.7,15.3,12.6666666666667,0.395410174817501,12.3,0.927307110485709
"150","Micronycteris megalotis",12,3,8.5,6.20833333333333,0.494125847872132,6.4,0.387890387625029
"151","Microtus abbreviatus",22,31.5,70.4,42.4545454545455,2.51496583052126,66.06,9.38599413915775
"152","Microtus agrestis",11,20,57,31.8727272727273,3.28105002342213,35.87,1.21829069923889
"153","Microtus californicus",713,1,73,39.5830294530154,0.388668255027196,57.42,45.8925325551388
"154","Microtus canicaudus",11,18.4,53.6,31.0363636363636,2.79861240706152,29.93,0.395325781295057
"155","Microtus chrotorrhinus",51,18.92,52,34.4892156862745,1.25669144958567,38.99,3.5814553486533
"156","Microtus longicaudus",1442,3,124,32.4779750346741,0.332567128089505,44.8,37.0512414624745
"157","Microtus mexicanus",52,16.5,38,28.5,0.691163794370457,34.88,9.23080759143525
"158","Microtus miurus",140,8,51,25.4621428571429,0.993108042784112,41,15.6456865451394
"159","Microtus montanus",639,4,60,27.5897496087637,0.454443795069087,42.85,33.5800610698543
"160","Microtus ochrogaster",697,6.3,150,38.5453228120517,0.435668482601999,42.5,9.07726251926538
"161","Microtus oeconomus",1370,6,1101.09553903219,36.9886755759359,0.915397204689762,33.1,4.24807455825018
"162","Microtus oregoni",265,5,27.5,16.3222641509434,0.22693581333069,20.35,17.7483482661567
"163","Microtus pennsylvanicus",1580,0.24,1607.41805002897,27.463929145588,1.06707111469021,42.53,14.1190878911439
"164","Microtus pinetorum",66,3,42.8,27.6401515151515,0.99611390583594,25.95,1.69674522687557
"165","Microtus richardsoni",31,25.3,124.5,70.5951612903226,4.48252902097287,85.5,3.32509586439722
"166","Microtus townsendii",57,15.2,95.1,53.2570175438596,2.69044752644209,52.02,0.459781330690178
"167","Microtus xanthognathus",672,16.7,5305,63.5936011904762,7.85360446341358,92.65,3.69975327187466
"168","Miniopterus australis",43,3.6,45,6.64883720930233,1.22795002483351,7.4,0.611720978465322
"169","Miniopterus inflatus",11,257,353,335.272727272727,8.4639244165414,14.9,37.8515581550574
"170","Miniopterus schreibersii",150,4,330,36.8303333333333,7.29501541225418,11.46,3.47776281469073
"171","Molossus molossus",54,1,20,13.5351851851852,0.552259556550712,13.7,0.298437234557262
"172","Monodelphis domestica",18,61.5,126.6,83.3166666666667,4.50713486661786,93.45,2.24828713433583
"173","Monophyllus redmani",23,3,14,13.1521739130435,0.529220082629519,8.79,8.24264621888362
"174","Mormoops megalophylla",20,8,16.1,13.56,0.379154183330268,16.09,6.67274715994946
"175","Mus musculus",253,2.5,100,16.8615019762846,0.443392537062925,19.3,5.49963704817465
"176","Mustela erminea",225,27.3,768,104.594488888889,5.28682643044757,284.5,34.0290178763975
"177","Mustela frenata",73,65,7233.38122513038,279.391523631923,96.8827165770603,190.03,0.922368063047087
"178","Mustela nivalis",46,6.5,90.4,44.2565217391304,2.90041751479583,78.45,11.7891572804395
"179","Myodes californicus",869,4.2,50,21.0953970080552,0.193666389986397,18.3,14.4340843460322
"180","Myodes gapperi",3231,2,3606,21.388356545961,1.11925826517905,19.83,1.39231185012667
"181","Myodes glareolus",13,11.9,28,20.1153846153846,1.36958004764357,20.73,0.448761929375988
"182","Myodes rufocanus",195,9.9,60,29.5492307692308,0.870278582173482,36.43,7.90639844724757
"183","Myodes rutilus",3683,3,56,20.6970268802607,0.108966978117385,19.94,6.9473054437203
"184","Myopus schisticolor",21,16,43,28.3619047619048,1.65798897392043,29.99,0.981969882613569
"185","Myotis albescens",12,4,35,14.875,4.1887859852591,5.69,2.19275943729836
