"","MSW05_Binomial","sample.size","min.mass","max.mass","avg.mass","sd.err.mass","pan.mass","mass.diff"
"63","Cuniculus paca",10,5400,9500,7753.8,418.96300022264,8172.55,0.999491601352562
"64","Cynomys ludovicianus",26,8,1021.5,608.830769230769,63.0108751954725,797.05,2.98709119950067
"65","Cynopterus brachyotis",299,9,64,33.8734113712375,0.449636800353672,33.87,0.00758694847658964
"66","Dasypus novemcinctus",11,3.6,6100,3682.14545454545,601.436661270878,3949.01,0.443711803152542
"67","Delphinus delphis",147,6,535000,52799.5829931973,3897.13958490026,79271.69,6.79270178296172
"68","Desmodus rotundus",103,8,71,30.9097087378641,0.896503683796207,33.16,2.5100747524061
"69","Dicrostonyx groenlandicus",343,5.9,101.4,41.76472303207,1.07564909732987,58.44,15.50252494919
"70","Didelphis marsupialis",17,0,2100,738.352941176471,170.745617056323,1134.75,2.32156506068774
"71","Didelphis virginiana",43,1,4300,1641.16581395349,212.33011657795,2442.08,3.77202348378348
"72","Dipodomys californicus",14,39.9,85,62.7414285714286,3.66946740710492,84.95,6.05226016875653
"73","Dipodomys merriami",98,6,51.5,37.7795918367347,0.710305492492489,37.91,0.1835944739885
"74","Dipodomys microps",28,34,80,58.1678571428571,1.74982276934319,56.26,1.09031450286435
"75","Dipodomys ordii",201,22.7,81,54.6191542288557,0.86681191984395,50.4,4.86743909753258
"76","Dobsonia moluccensis",11,151,418,253,32.5092993688659,447.64,5.98720993004255
"77","Dromiciops gliroides",18,15.5,29.5,23.0833333333333,0.905006048439688,25,2.1178495657252
"78","Eligmodontia puerulus",11,1,21,16.0909090909091,1.64844028460264,28.49,7.52171068913167
"79","Eligmodontia typus",10,11.5,19,15.7,0.703957069398096,17.37,2.37230375629
"80","Emballonura alecto",14,4.3,65,9.64285714285714,4.26052303302231,5.25,1.03106053149088
"81","Enhydra lutris",429,19.4,39870.77,18135.3142424242,366.755589315245,27410.93,25.2910004040945
"82","Eonycteris robusta",24,31,90,61.4333333333333,3.99659124078179,78.36,4.23527592562995
"83","Eptesicus furinalis",10,7.5,42,22.37,5.18932772353242,7.7,2.82695577954633
"84","Eptesicus fuscus",372,2.1,65,14.7395430107527,0.279429152236401,17.49,9.84312827503548
"85","Erethizon dorsatum",25,1284,11020,5812.4056,538.026125814872,7419.46,2.98694491381069
"86","Erignathus barbatus",81,1,317514.68,121171.96037037,11770.2668885095,279999.99,13.4940040981299
"87","Eumetopias jubatus",19,0,816466.32,125930.917368421,48065.6494088749,382466.74,5.33719664222849
"88","Geomys breviceps",11,64,234,161.318181818182,14.9167801679355,136.47,1.66578722341129
"89","Geomys bursarius",174,53,487,212.765517241379,5.46790362071515,203.75,1.64880690420805
"90","Geomys pinetis",35,34,274.8,151.632,11.2988103991958,201.15,4.3825852678725
"91","Glaucomys sabrinus",550,13.6,268,129.572945454545,1.42731519867366,137.53,5.57484047871743
"92","Glaucomys volans",27,4,97.59,60.9533333333333,3.35760220880803,71.9,3.26026312406817
"93","Glossophaga commissarisi",60,5,13.2,7.21666666666667,0.236454110007332,9.15,8.17635748971917
"94","Glossophaga soricina",140,4,5051013,36089.1528571429,36078.5888691072,9.97,1.00001646372694
"95","Grampus griseus",14,200,360605.9,163383.585714286,31933.4557194183,387500,7.01823242228783
"96","Graomys domorum",26,23,85,51.0192307692308,3.01081138683588,102,16.9325682285086
"97","Graomys griseoflavus",46,19,106,56.4782608695652,3.13935424148983,68.32,3.77203023919183
"98","Gulo gulo",142,34,17300,8184.43035211268,225.933032857735,12792.49,20.3956880036613
"99","Habromys lophurus",44,19.5,35,28.8068181818182,0.574054952096172,40,19.4984500652938
"100","Haplonycteris fischeri",118,12.25,28.5,17.6588983050847,0.218554467135774,18.25,2.70459671981007
